table_schema,table_name,column_name,foreign_table_schema,foreign_table_name,foreign_column_name
FH,FHGLBankTransferDatas,BankToKey,FH,FHBankAccountSetupDatas,FHBankAccountSetupDataKey
FH,FHGLBudgetAmendLogs,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHGLBudgetAmendLogs,FHGLBudgetDataKey,FH,FHGLBudgetDatas,FHGLBudgetDataKey
FH,FHGLBudgetDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHGLEntryDatas,FHAPInvoiceDataKey,FH,FHAPInvoiceDatas,FHAPInvoiceDataKey
FH,FHGLEntryDatas,FHBankTransactionDataKey,FH,FHBankTransactionDatas,FHBankTransactionDataKey
FH,FHGLEntryDatas,FHBookDataKey,FH,FHBookDatas,FHBookDataKey
FH,FHGLEntryDatas,FHGLAccountDataKey,FH,FHGLAccountDatas,FHGLAccountDataKey
FH,FHGLEntryDatas,FHGLBankTransferDataKey,FH,FHGLBankTransferDatas,FHGLBankTransferDataKey
FH,FHGLEntryDatas,FHGLJournalDataKey,FH,FHGLJournalDatas,FHGLJournalDataKey
FH,FHGLEntryRecurringDatas,FHBookDataKey,FH,FHBookDatas,FHBookDataKey
